filename,unique_id,caption,date,place,callno,archive_all,archive_series,archive_box,archive_folder,archive_sleeve,archive_frame,permalink
25664_25_PM.tif,25664_25_PM,Steve Jobs in conversation with Canon executives during a meeting shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25664, Frame 25",3,8,25,25664,25,https://purl.stanford.edu/mv330pm9531
25665_7A_PM.tif,25665_7A_PM,Lunch for NeXT and Canon executives in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25665, Frame 7A",3,8,25,25665,7A,https://purl.stanford.edu/yf712rd0308
05171_4_PM.tif,05171_4_PM,"H. Ross Perot, NeXT board member.",October 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 21, Sleeve 05171, Frame 4",3,8,21,05171,4,https://purl.stanford.edu/fq766xw9786
15288_2A_PM.tif,15288_2A_PM,,"July 28, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 19, Sleeve 15288, Frame 2A",3,8,19,15288,2A,https://purl.stanford.edu/fq970fs1693
73835_28A_PM.tif,73835_28A_PM,NeXT employee John Anderson's boa constrictor.,1988,Palo Alto (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 73835, Frame 28A",3,10,8,73835,28A,https://purl.stanford.edu/hh281dk4211
07114_25A_PM.tif,07114_25A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07114, Frame 25A",3,8,18,07114,25A,https://purl.stanford.edu/hd741zf9180
090180_20A_PM.tif,090180_20A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090180, Frame 20A",3,8,15,090180,20A,https://purl.stanford.edu/fb417wn8543
090180_28A_PM.tif,090180_28A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090180, Frame 28A",3,8,15,090180,28A,https://purl.stanford.edu/fh135gf2200
07110_9A_PM.tif,07110_9A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07110, Frame 9A",3,8,18,07110,9A,https://purl.stanford.edu/gg491hd8905
07111_15A_PM.tif,07111_15A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07111, Frame 15A",3,8,18,07111,15A,https://purl.stanford.edu/gm402zk1321
73833_25A_PM.tif,73833_25A_PM,,"May 13, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 17, Sleeve 73833, Frame 25A",3,8,17,73833,25A,https://purl.stanford.edu/bv805zs6803
05178_09A_PM.tif,05178_09A_PM,The NeXT workstation.,1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05178, Frame 9A",3,10,8,05178,9A,https://purl.stanford.edu/cb759hp7689
73834_29A_PM.tif,73834_29A_PM,,"May 13, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 17, Sleeve 73834, Frame 29A",3,8,17,73834,29A,https://purl.stanford.edu/cg454gh6771
05174_4_PM.tif,05174_4_PM,"H. Ross Perot, NeXT board member, in conversation.",October 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 21, Sleeve 05174, Frame 4",3,8,21,05174,4,https://purl.stanford.edu/dd596yf0021
090178_36_PM.tif,090178_36_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090178, Frame 36",3,8,15,090178,36,https://purl.stanford.edu/rc078dn2052
07110_6A_PM.tif,07110_6A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07110, Frame 6A",3,8,18,07110,6A,https://purl.stanford.edu/nr254gc8071
090180_13A_PM.tif,090180_13A_PM,Software engineers Trey Matteson (on floor) and Chris Franklin (seated).,1988,Palo Alto (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 090180, Frame 13A",3,10,8,090180,13A,https://purl.stanford.edu/kb741vh4095
05171_25_PM.tif,05171_25_PM,,1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05171, Frame 25",3,10,8,05171,25,https://purl.stanford.edu/kp278gt9772
090178_19A_PM.tif,090178_19A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090178, Frame 19A",3,8,15,090178,19A,https://purl.stanford.edu/mk552cp3952
15292_29A_PM.tif,15292_29A_PM,,"July 28, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 19, Sleeve 15292, Frame 29A",3,8,19,15292,29A,https://purl.stanford.edu/jk501nv1399
05171_26_PM.tif,05171_26_PM,"John P. Crecine, NeXT board member and Carnegie-Mellon's senior vice president of academic affairs.",October 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 21, Sleeve 05171, Frame 26",3,8,21,05171,26,https://purl.stanford.edu/jx918kn3666
07110_4A_PM.tif,07110_4A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07110, Frame 4A",3,8,18,07110,4A,https://purl.stanford.edu/md795bc5416
090181_23_PM.tif,090181_23_PM,Software engineers Trey Matteson (on floor) and Chris Franklin (seated).,1988,Palo Alto (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 090181, Frame 23",3,10,8,090181,23,https://purl.stanford.edu/jk304nq6799
05175_19A_PM.tif,05175_19A_PM,,1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05175, Frame 19A",3,10,8,05175,19A,https://purl.stanford.edu/mw020mw7409
090180_1A_PM.tif,090180_1A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090180, Frame 1A",3,8,15,090180,1A,https://purl.stanford.edu/nb415vh1262
090178_31A_PM.tif,090178_31A_PM,Software engineers Trey Matteson (on floor) and Chris Franklin (seated).,January 1988,Palo Alto (Calif.),,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090178, Frame 31A",3,8,15,090178,31A,https://purl.stanford.edu/nb442js4269
090180_7A_PM.tif,090180_7A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090180, Frame 7A",3,8,15,090180,7A,https://purl.stanford.edu/jw292yf8032
05174_24_PM.tif,05174_24_PM,"NeXT Board member H. Ross Perot, CEO Steve Jobs and an unidentified woman.",1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05174, Frame 24",3,10,8,05174,24,https://purl.stanford.edu/sv228nc3203
07111_20A_PM.tif,07111_20A_PM,NeXT CEO Steve Jobs (right) in conversation with a colleague.,1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 07111, Frame 20A",3,10,8,07111,20A,https://purl.stanford.edu/ck876vr1702
07112_36A_PM.tif,07112_36A_PM,NeXT CEO Steve Jobs and Director of Marketing Kathryn Kilcoyne.,1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 07112, Frame 36A",3,10,8,07112,36A,https://purl.stanford.edu/dx569sp8685
05175_09A_PM.tif,05175_09A_PM,"NeXT Board member H. Ross Perot, CEO Steve Jobs and an unidentified woman.",1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05175, Frame 9A",3,10,8,05175,9A,https://purl.stanford.edu/fh173kf3613
05174_25_PM.tif,05174_25_PM,"NeXT Board member H. Ross Perot, CEO Steve Jobs and an unidentified woman.",1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05174, Frame 25",3,10,8,05174,25,https://purl.stanford.edu/qx695fd7938
05198_24A_PM.tif,05198_24A_PM,"NeXT Board member H. Ross Perot (left), CEO Steve Jobs (center) and an unidentified male.",1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05198, Frame 24A",3,10,8,05198,24A,https://purl.stanford.edu/rx582rs3168
05174_26_PM.tif,05174_26_PM,"NeXT Board member H. Ross Perot, CEO Steve Jobs and an unidentified woman.",1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 05174, Frame 26",3,10,8,05174,26,https://purl.stanford.edu/kh593wb7053
07110_27A_PM.tif,07110_27A_PM,A barefoot Steve Jobs (foreground) and NeXT colleagues.,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07110, Frame 27A",3,8,18,07110,27A,https://purl.stanford.edu/wg916nb1059
73831_3_PM.tif,73831_3_PM,,"May 13, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 17, Sleeve 73831, Frame 3",3,8,17,73831,3,https://purl.stanford.edu/ts146zc2562
07114_27A_PM.tif,07114_27A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07114, Frame 27A",3,8,18,07114,27A,https://purl.stanford.edu/sy593tq7445
73835_4A_PM.tif,73835_4A_PM,,"May 13, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 17, Sleeve 73835, Frame 4A",3,8,17,73835,4A,https://purl.stanford.edu/rx520vw3254
07110_36_PM.tif,07110_36_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07110, Frame 36",3,8,18,07110,36,https://purl.stanford.edu/vd584bs5734
07115_7A_PM.tif,07115_7A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07115, Frame 7A",3,8,18,07115,7A,https://purl.stanford.edu/rn482dh3928
15288_11A_PM.tif,15288_11A_PM,,"July 28, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 19, Sleeve 15288, Frame 11A",3,8,19,15288,11A,https://purl.stanford.edu/rr272ww6765
07113_21A_PM.tif,07113_21A_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07113, Frame 21A",3,8,18,07113,21A,https://purl.stanford.edu/qt531yk2301
07114_35_PM.tif,07114_35_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07114, Frame 35",3,8,18,07114,35,https://purl.stanford.edu/tn660db4654
15290_04A_PM.tif,15290_04A_PM,"NeXT employees in the manufacturing plant in Fremont, California.",1988,Fremont (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 15290, Frame 4A",3,10,8,15290,4A,https://purl.stanford.edu/sx002vn4242
090179_26_PM.tif,090179_26_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090179, Frame 26",3,8,15,090179,26,https://purl.stanford.edu/yp981rh1192
15290_22A_PM.tif,15290_22A_PM,"A NeXT circuit board coming down the automated production line in Fremont, California.",1988,Fremont (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 15290, Frame 22A",3,10,8,15290,22A,https://purl.stanford.edu/ym910ds5751
07115_10_PM.tif,07115_10_PM,,"June 20, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 18, Sleeve 07115, Frame 10",3,8,18,07115,10,https://purl.stanford.edu/wq536mh1609
15293_25_PM.tif,15293_25_PM,"Engineers check out the production line at the automated manufacturing facility in Fremont, California.",1988,Fremont (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 15293, Frame 25",3,10,8,15293,25,https://purl.stanford.edu/wy253nk8219
15291_08A_PM.tif,15291_08A_PM,"NeXT manufacturing engineers examine a circuit board fresh off the production line at the facility in Fremont, California.",1988,Fremont (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 15291, Frame 8A",3,10,8,15291,8A,https://purl.stanford.edu/wx454dd1437
31790_04_PM.tif,31790_04_PM,Tear down following an off-site company retreat.,1988,,,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 31790, Frame 4",3,10,8,31790,4,https://purl.stanford.edu/yr870nn5577
15292_16A_PM.tif,15292_16A_PM,"NeXT manufacturing engineers examine a circuit board fresh off the production line at the facility in Fremont, California.",1988,Fremont (Calif.),,"MSS Photo 451, Series 3, Box 10, Folder 8, Sleeve 15292, Frame 16A",3,10,8,15292,16A,https://purl.stanford.edu/yj980mj4759
73830_4A_PM.tif,73830_4A_PM,,"May 13, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 17, Sleeve 73830, Frame 4A",3,8,17,73830,4A,https://purl.stanford.edu/xw490fr1906
090180_9A_PM.tif,090180_9A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 15, Sleeve 090180, Frame 9A",3,8,15,090180,9A,https://purl.stanford.edu/xp005sr1040
31790_31A_PM.tif,31790_31A_PM,,"March 17, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31790, Frame 31A",3,8,16,31790,31A,https://purl.stanford.edu/cz421ct5271
31789_2A_PM.tif,31789_2A_PM,,"March 17, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31789, Frame 2A",3,8,16,31789,2A,https://purl.stanford.edu/qk184yh2928
31788_32A_PM.tif,31788_32A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31788, Frame 32A",3,8,16,31788,32A,https://purl.stanford.edu/kj903rt0934
31788_34A_PM.tif,31788_34A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31788, Frame 34A",3,8,16,31788,34A,https://purl.stanford.edu/mg420vd3440
31790_8A_PM.tif,31790_8A_PM,,"March 17, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31790, Frame 8A",3,8,16,31790,8A,https://purl.stanford.edu/mf442bz4326
31790_22A_PM.tif,31790_22A_PM,"Steve Jobs (standing, far right) and members of the NeXT team.","March 17, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31790, Frame 22A",3,8,16,31790,22A,https://purl.stanford.edu/sq496xx1906
31790_27A_PM.tif,31790_27A_PM,"Steve Jobs (standing, far right) and members of the NeXT team.","March 17, 1988",,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31790, Frame 27A",3,8,16,31790,27A,https://purl.stanford.edu/nk935tn2281
31788_8A_PM.tif,31788_8A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31788, Frame 8A",3,8,16,31788,8A,https://purl.stanford.edu/sz608kx8748
31788_21A_PM.tif,31788_21A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31788, Frame 21A",3,8,16,31788,21A,https://purl.stanford.edu/rd259yj2574
31788_12A_PM.tif,31788_12A_PM,,January 1988,,,"MSS Photo 451, Series 3, Box 8, Folder 16, Sleeve 31788, Frame 12A",3,8,16,31788,12A,https://purl.stanford.edu/rw840qg3512
024564_25_PM.tif,024564_25_PM,"Guy ""Bud"" Tribble, vice president of software engineering and a NeXT co-founder.",November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024564, Frame 25",3,8,12,024564,25,https://purl.stanford.edu/hq341ms8699
0843_26A_PM.tif,0843_26A_PM,,March 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 7, Sleeve 0843, Frame 26A",3,8,7,0843,26A,https://purl.stanford.edu/ck185cd8709
3043_16A_PM.tif,3043_16A_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 9, Sleeve 3043, Frame 16A",3,8,9,3043,16A,https://purl.stanford.edu/cq369rj3467
024564_32_PM.tif,024564_32_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024564, Frame 32",3,8,12,024564,32,https://purl.stanford.edu/nw765cv7298
3043_25A_PM.tif,3043_25A_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 9, Sleeve 3043, Frame 25A",3,8,9,3043,25A,https://purl.stanford.edu/kt650tr0590
024562_30_PM.tif,024562_30_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024562, Frame 30",3,8,12,024562,30,https://purl.stanford.edu/sz144fq2183
3043_24A_PM.tif,3043_24A_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 9, Sleeve 3043, Frame 24A",3,8,9,3043,24A,https://purl.stanford.edu/vh766ch4423
024563_13_PM.tif,024563_13_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024563, Frame 13",3,8,12,024563,13,https://purl.stanford.edu/zc837fb8567
0843_3A_PM.tif,0843_3A_PM,,March 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 7, Sleeve 0843, Frame 3A",3,8,7,0843,3A,https://purl.stanford.edu/yy328jc2751
024563_27_PM.tif,024563_27_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024563, Frame 27",3,8,12,024563,27,https://purl.stanford.edu/ys487pp4621
024562_13_PM.tif,024562_13_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024562, Frame 13",3,8,12,024562,13,https://purl.stanford.edu/vt357qp1463
024565_6_PM.tif,024565_6_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024565, Frame 6",3,8,12,024565,6,https://purl.stanford.edu/vk003hd9248
024561_14_PM.tif,024561_14_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024561, Frame 14",3,8,12,024561,14,https://purl.stanford.edu/vr718yh1063
024567_10_PM.tif,024567_10_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024567, Frame 10",3,8,12,024567,10,https://purl.stanford.edu/hp844rq9866
024568_28A_PM.tif,024568_28A_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024568, Frame 28A",3,8,12,024568,28A,https://purl.stanford.edu/pd898qt5380
024565_22_PM.tif,024565_22_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024565, Frame 22",3,8,12,024565,22,https://purl.stanford.edu/mj052km4340
024568_17A_PM.tif,024568_17A_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024568, Frame 17A",3,8,12,024568,17A,https://purl.stanford.edu/vj994rc2719
024567_31_PM.tif,024567_31_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024567, Frame 31",3,8,12,024567,31,https://purl.stanford.edu/yf902mz5869
024565_17_PM.tif,024565_17_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024565, Frame 17",3,8,12,024565,17,https://purl.stanford.edu/zp802yh6773
024568_19A_PM.tif,024568_19A_PM,,November 1987,,,"MSS Photo 451, Series 3, Box 8, Folder 12, Sleeve 024568, Frame 19A",3,8,12,024568,19A,https://purl.stanford.edu/wn578xs3663
0116_7A_PM.tif,0116_7A_PM,"Tom Carlisle, NeXT's director of facilities.",October 1986,Palo Alto (Calif.),,"MSS Photo 451, Series 3, Box 8, Folder 2, Sleeve 0116, Frame 7A",3,8,2,0116,7A,https://purl.stanford.edu/fp525nb2354
0768_1A_PM.tif,0768_1A_PM,"Susan Kare, NeXT creative director, who was one of the first ten employees of the company, and David Kelley, president of David Kelley Designs. Kelley's firm collaborated on the design of the original NeXT machine.",September 1986,,,"MSS Photo 451, Series 3, Box 8, Folder 1, Sleeve 0768, Frame 1A",3,8,1,0768,1A,https://purl.stanford.edu/bn292qs9389
0767_12A_PM.tif,0767_12A_PM,,September 1986,,,"MSS Photo 451, Series 3, Box 8, Folder 1, Sleeve 0767, Frame 12A",3,8,1,0767,12A,https://purl.stanford.edu/jv234pc5655
0110_17A_PM.tif,0110_17A_PM,"Susan Karen, NeXT creative director, who was one of the first ten employees of the company.",October 1986,,,"MSS Photo 451, Series 3, Box 8, Folder 2, Sleeve 0110, Frame 17A",3,8,2,0110,17A,https://purl.stanford.edu/kq512sj7272
