filename	title	artist	place	date	caption	description	permalink	image_url
2002700258.jpg	Amerikakoku jōkisha ōrai	Utagawa, Yoshikazu, active 1848-1863, artist	United States		Japanese triptych print shows a crowded pier with a steamboat in the background.	- Title from item. - Signature: Issen Yoshikazu ga. - Unidentified Japanese writing on backing sheet. - From series entitled: Images of the western world. - Annotations, stamps, etc. on verso of print: 106; 47623a. - Yokohama : prints from nineteenth-century Japan / Ann Yonemura. Washington, D.C. : Arthur M. Sackler Gallery : Smithsonian Institution Press, c1990, no. 66 (p. 162) - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Side wheelers--American--United States--1860-1870 - Transportation--United States--1860-1870 - Piers & wharves--United States--1860-1870 Triptychs--Japanese--1860-1870. Woodcuts--Japanese--Color--1860-1870. Triptychs--Japanese--1860-1870 Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper (3 sheets) : woodcut, color ; 35.4 x 25.4 cm. (each block), 35.5 x 25.5 cm. (each sheet)	https://www.loc.gov/item/2002700258/	https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g08000/3g08500/3g08513r.jpg
2002700125.jpg	Kuruma zukushi		Japan		Japanese print shows various forms of transportation employed by people, including a train, horse-drawn carriage, horse-drawn trolley, rickshaw, bicycle, hand-drawn carts. Man drawing water from a well, woman with child on back walking.	- Title from item. - Seal date: Meiji 2. - Annotations, stamps, etc. on verso of print: 175; 47623a (white label). - Inscription: Shinpan (New edition). - Earlier control number: 236.3-24. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - What is term for machine below carriage? looks like coal-powered. - Transportation--Japan--1870 - Railroads--Japan--1870 - Horse railroads--Japan--1870 - Carriages & coaches--Japan--1870 - Rickshaws--Japan--1870 - Bicycles & tricycles--Japan--1870 - Carts & wagons--Japan--1870 Woodcuts--Japanese--Color--1870. Woodcuts--Japanese--Color--1870 1 print on hōsho paper : woodcut, color ; 34.8 x 23 cm. (block), 36.5 x 23.5 cm. (sheet)	https://www.loc.gov/item/2002700125/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10300/3g10384r.jpg
2002700265.jpg	Gaikokujin ifuku shitate no zu	Utagawa, Yoshikazu, active 1848-1863, artist	Japan		Japanese print shows a foreign woman using a sewing machine while her husband and children sit together in the background.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Monkey 11. - Annotations, stamps, etc. on verso of print: 81; 47623a (white label); LC2585; 21. - Earlier control number: 9942.25-3. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Sewing--Japan--1860 - Sewing machines--1860 - Women--Domestic life--Japan--1860 - Foreign visitors--Japan--1860 - Fathers & children--Japan--1860 Woodcuts--Japanese--Color--1860. Woodcuts--Japanese--Color--1860 1 print on hōsho paper : woodcut, color ; 33.5 x 22.2 cm. (block), 37 x 25.6 cm. (sheet)	https://www.loc.gov/item/2002700265/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10546r.jpg
2002700268.jpg	Gaikokujin Yokohama ni oite kyōkuba	Utagawa, Yoshikazu, active 1848-1863, artist	Japan Yokohama	1864	Japanese triptych print shows a foreign circus performing in Yokohama, Japan.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Rat 4. - Annotations, stamps, etc. on verso of print: 3; 1879; 100; 47623a (white label). - Yokohama : prints from nineteenth-century Japan / Ann Yonemura. Washington, D.C. : Arthur M. Sackler Gallery : Smithsonian Institution Press, c1990, no. 60 (p. 150-51) - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Circuses & shows--Japan--Yokohama-shi--1860-1870 - Circus performers--1860-1870 - Acrobats--1860-1870 - Foreign visitors--Japan--Yokohama-shi--1860-1870 Triptychs--Japanese--1860-1870. Woodcuts--Japanese--Color--1860-1870. Triptychs--Japanese--1860-1870 Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 35.2 x 73 cm. (block), 35.2 x 73 cm. (sheet)	https://www.loc.gov/item/2002700268/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10900/3g10932r.jpg
2002700273.jpg	Ikokujin shuen yuraku no zu	Utagawa, Yoshikazu, active 1848-1863, artist	Japan	1860	Japanese triptych print shows children dancing for adults gathered in large room in a foreign settlement house in Japan.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Monkey 12. - Triptych matted in separate sections: right (128a), center (128b), left (128c). - Annotations, stamps, etc. on verso of print: 92; 47623a (white label). - Earlier control number: 9942.25-13. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - 128a, 128b, and 128c Exhibited: "Collecting Memories: Treasures from the Library of Congress" at the Library of Congress, Thomas Jefferson Building, NW Curtain, Treasures Gallery, Washington, D.C., June 2025 - January 2026. - Children dancing--Japan--1860 - Lodging houses--Japan--1860 - Foreign visitors--Japan--1860 - Entertainment--Japan--1860 Triptychs--Japanese--1860. Woodcuts--Japanese--Color--1860. Triptychs--Japanese--1860 Woodcuts--Japanese--Color--1860 1 print on hōsho paper (3 sheets) : woodcut, color ; 35.4 x 24.3 cm. (each block), 35.4 x 24.3 cm. (each sheet)	https://www.loc.gov/item/2002700273/	https://tile.loc.gov/storage-services/service/pnp/ppmsca/97200/97285r.jpg
2002700276.jpg	Oranda	Utagawa, Yoshikazu, active 1848-1863, artist	Japan		Japanese print shows a Dutch domestic scene, a woman holds a child while one man operates a cheese press and another attends to food on a long oven.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Cock 2. - Publisher's name is abbreviated. - Annotations, stamps, etc. on verso of print: 94; 47623a (white label); LC2585. - Earlier control number: 9942.25-14. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Dutch--Domestic life--Japan--1860-1870 - Foreign visitors--Dutch--Japan--1860-1870 - Cookery--Japan--1860-1870 - Ovens--Japan--1860-1870 - Cheese--Japan--1860-1870 - Mothers & children--Japan--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 36 x 25 cm. (block), 37.4 x 25.5 cm. (sheet)	https://www.loc.gov/item/2002700276/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10581r.jpg
2002700126.jpg	Nagasaki no chizu		Japan Nagasaki		Japanese print shows map of harbor area of Nagasaki.	- Title from item. - Nagasaki print. - One corner is torn. - Backed with sheet of paper covered with Japanese writing. - Annotations, stamps, etc. on verso of print: 176; 47623a. - Earlier control number: 236.3-21. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Date? is it 1801 or different? Per Lane, Kansei era was from 1789-1801 and Kyowa era was from 1801-1804 so presumably 1801 of Kyowa era refers to a part of the year. - Nagasaki-shi (Japan) Maps--Japan--Nagasaki-shi--1800-1810. Woodcuts--Japanese--Color--1800-1810. Maps--Japan--Nagasaki-shi--1800-1810 Woodcuts--Japanese--Color--1800-1810 1 print on hōsho paper : woodcut, color ; 43 x 32 cm. (block), 45 x 35.5 cm. (sheet)	https://www.loc.gov/item/2002700126/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10300/3g10383r.jpg
2002700280.jpg	Shōsha - Amerikajin	Utagawa, Yoshikazu, active 1848-1863, artist	Japan	1861	Japanese print shows an American couple, the woman is holding a parasol and the man is smoking a cigar.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Cock 4. - Annotations, stamps, etc. on verso of print: 90; 47623a. - Earlier control number: 9942.25-10. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Exhibited: "Collecting Memories: Treasures from the Library of Congress" at the Library of Congress, Thomas Jefferson Building, NW Curtain, Treasures Gallery, Washington, D.C., June 2025 - January 2026. - Americans--Clothing & dress--Japan--1860-1870 - Foreign visitors--American--Japan--1860-1870 - Smoking--Japan--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 33.5 x 23 cm (block), 37.5 x 25.3 cm (sheet)	https://www.loc.gov/item/2002700280/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10591r.jpg
2002700281.jpg	Yokohama gaikokujin gyōretsu no zu	Utagawa, Yoshikazu, active 1848-1863, artist	Japan Yokohama	1861	Japanese triptych print shows a parade of foreigners including soldiers in Yokohama, Japan.	- Title transcribed from item. - Signature: Issen Yoshikazu ga. - Seal date: Rooster 2. - Triptych print mounted together on one mat. - Annotations, stamps, etc.: Verso of right panel: "84"; left panel: "84." - Yokohama : prints from nineteenth-century Japan / Ann Yonemura. Washington, D.C. : Arthur M. Sackler Gallery : Smithsonian Institution Press, c1990, no. 18 (pp. 94-95) - Earlier control number: 9942.25-29. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Soldiers--Japan--Yokohama-shi--1860-1870 - Foreign visitors--Japan--Yokohama-shi--1860-1870 - Military parades & ceremonies--Japan--Yokohama-shi--1860-1870 Triptychs--Japanese--1860-1870. Woodcuts--Japanese--Color--1860-1870. Triptychs--Japanese--1860-1870 Woodcuts--Japanese--Color--1860-1870 1 print : color woodcut on hōsho paper ; block mark 37 x 24.5 cm, sheet 36.2 x 24.5 cm	https://www.loc.gov/item/2002700281/	https://tile.loc.gov/storage-services/service/pnp/cph/3b50000/3b53000/3b53100/3b53129r.jpg
2002700282.jpg	Yokohama ijin yashiki no zu	Utagawa, Yoshikazu, active 1848-1863, artist	Japan Yokohama	1861	Japanese print shows a kitchen where food is being prepared and of adjoining rooms, in one room a man is getting a shave, in a foreign settlement house in Yokohama, Japan.	- Title from item. - Signature: Issen Yoshikazu ga. - Engraving attributed to: Hori Chō. - Seal date: Cock 1. - Annotations, stamps, etc. on verso of print: 104; 47623a; LC2585; 20. - Foreigners in Japan: Yokohama and related woodcuts in the Philadelphia Museum of Art / Philadelphia Museum of Art. Philadelphia: The Museum, 1972, no. 84 (p. 30) - Earlier control number: 9942.25-24. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Kitchens--Japan--Yokohama-shi--1860-1870 - Cookery--Japan--Yokohama-shi--1860-1870 - Foreign visitors--Japan--Yokohama-shi--1860-1870 - Lodging houses--Japan--Yokohama-shi--1860-1870 - Domestic life--Japan--Yokohama-shi--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 34.5 x 24 cm. (block), 37.3 x 25 cm. (sheet)	https://www.loc.gov/item/2002700282/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10600/3g10604r.jpg
2002700284.jpg	Yokohama kenbutsu zue	Utagawa, Yoshikazu, active 1848-1863, artist	Japan Yokohama	1860	Japanese print shows a foreign visitor standing outside a building in Yokohama, Japan. He is looking up and appears to be thinking, his thoughts depicted on the right, outside the space occupied by him, as a framed bust portrait of a woman, possibly his wife, and a clock, possibly a reference to the time that they have been apart.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Monkey 11. - From series entitled: Yokohama kenbutsu zue (Sights in Yokohama). - Annotations, stamps, etc. on verso of print: 47623a (white label); 85-; LC2585. - Inscriptions: Shashinkyō (Photographic mirror), Tokei shashin amerika (Picture of an American clock). - Earlier control number: 9942.25-6. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Images from the Floating World: the Japanese print / Richard Lane. New York : G.P. Putnam's Sons, 1978, p. 348, ill. 728 (entitled Foreign melange). - Foreign visitors--Japan--Yokohama-shi--1860 - Spouses--Japan--Yokohama-shi--1860 - Mental states--1860 - Clocks & watches--1860 - Portrait paintings--1860 Woodcuts--Japanese--Color--1860. Woodcuts--Japanese--Color--1860 1 print on hōsho paper : woodcut, color ; 34 x 24.5 cm. (block), 34 x 24.8 cm. (sheet)	https://www.loc.gov/item/2002700284/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10585r.jpg
2002700285.jpg	Yokohama meishō benten: Amerikajin	Utagawa, Yoshikazu, active 1848-1863, artist	Japan Yokohama	1861	Japanese print shows a man and a woman visiting the shore in Yokohama, Japan.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Cock 6. - Annotations, stamps, etc. on verso of print: 83; LC2585; 47623a (white label); 38. - Earlier control number: 9942.25-4. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Americans--Clothing & dress--Japan--Yokohama-shi--1860-1870 - Foreign visitors--American--Japan--Yokohama-shi--1860-1870 - Sightseers--Japan--Yokohama-shi--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 35.5 x 25 cm. (block), 36.5 x 25.2 cm. (sheet)	https://www.loc.gov/item/2002700285/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10587r.jpg
2002700286.jpg	Tōto meishō takanawa - Oroshiya	Utagawa, Yoshimori, 1830-1884, artist	Japan Takanawa Peninsula	1861	Japanese print shows a Russian soldier possibly daydreaming; a waterfront scene depicted behind him may be a visualization of his dream.	- Title from item. - Signature: Ikkosai Yoshimori ga. - Engraving attributed to: Hori Sen. - Seal date: Cock 2. - From series entitled: Tōto meishō (Sights in Edo). - Annotations, stamps, etc. on verso of print: 109; LC2585; 47623a (white label) ; unidentified publisher seal on recto. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Military personnel--Russian--Japan--Takanawa Peninsula--1860-1870 - Daydreaming--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 35.5 x 24 cm. (block), 37 x 25 cm. (sheet)	https://www.loc.gov/item/2002700286/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10586r.jpg
2002700287.jpg	Gaikokujin no zu - Igirisu, Furansu	Utagawa, Yoshitomi, artist	Japan		Japanese print shows an Englishman and a French woman horseback riding.	- Title from item. - Signature: Ichigeisai Yoshitomi ga. - Engraving attributed to: Hori Take. - Seal date: Cock 2. - From series entitled: Gaikokujin no zu (Portraits of foreigners). - Annotations, stamps, etc. on verso of print: 111; 47623a (white label). - Foreigners in Japan: Yokohama and related woodcuts in the Philadelphia Museum of Art / Philadelphia Museum of Art. Philadelphia: The Museum, 1972, no. 117 (p. 33) - Earlier control number: 9942.28-2. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Foreign visitors--1860-1870 - English--Japan--1860-1870 - French--Japan--1860-1870 - Horseback riding--Japan--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 36.2 x 24.5 cm. (block), 37 x 25 cm. (sheet)	https://www.loc.gov/item/2002700287/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10599r.jpg
